timing_condition,pair_index,primary_base_edge_id,alternative_base_edge_id,alternative_rank,available_raw_fragment_count,direction_pairwise_decision,global_pairwise_decision,branch_decision_differs_from_global,sar_only_pairwise_outcome,joint_category
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0013,3,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0023,2,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0044,5,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0047,4,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0051,1,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0007,1,2,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0010,5,2,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0014,2,2,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,ALTERNATIVE_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0021,4,2,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0031,3,2,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0008,5,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0014,4,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0018,2,1,DIRECTION_FAVORS_SUPPORTED,DIRECTION_FAVORS_SUPPORTED,False,SUPPORTED_WIN,DIRECTION_CONFIRMATION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0023,1,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0048,3,1,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0003,3,2,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
NOMINAL,10,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0004,5,0,DIRECTION_NO_DECISION,DIRECTION_NO_DECISION,False,SUPPORTED_WIN,DIRECTION_REDUNDANT_NO_DECISION
