case_id,segment_id,case_kind,selection_reference_scope,common_sar_support_frame_count,common_sar_support_frame_set,relational_evidence_support_extent,human_visual_credibility,q95_fragmentation_concern,human_joint_explanation_verdict,outcome_tuned_support_threshold_created,inspection_state,figure_path
strongest_A_SUPPORT_1,TERGS_1BB7B9183580C17A201F,A_SUPPORT_1,PRE_REFERENCE_MECHANICAL,1,491,LOCAL_RELATIONAL_EVIDENCE,GEOMETRICALLY_CREDIBLE_BUT_TEMPORALLY_LOCAL,MATERIAL_FOR_EVIDENCE_EXTENT_INTERPRETATION,LOCALLY_INCOMPATIBLE_NOT_EQUAL_TO_PERSISTENT_PROOF,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_A_SUPPORT_1.jpg
strongest_B_SUPPORT_2,TERGS_1BB7B9183580C17A201F,B_SUPPORT_2,PRE_REFERENCE_MECHANICAL,2,493;494,LOCAL_RELATIONAL_EVIDENCE,GEOMETRICALLY_CREDIBLE_BUT_TEMPORALLY_LOCAL,MATERIAL_FOR_EVIDENCE_EXTENT_INTERPRETATION,LOCALLY_INCOMPATIBLE_NOT_EQUAL_TO_PERSISTENT_PROOF,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_B_SUPPORT_2.jpg
strongest_C_SUPPORT_AT_LEAST_5,TERGS_1BB7B9183580C17A201F,C_SUPPORT_AT_LEAST_5,PRE_REFERENCE_MECHANICAL,5,490;491;492;493;494,PERSISTENT_RELATIONAL_EVIDENCE,CREDIBLE_PERSISTENT_REVERSE_ORDER,PRESENT_BUT_DOES_NOT_REVERSE_PERSISTENT_ORDER,YES_RELATIONALLY_INCOMPATIBLE_ACROSS_PERSISTENT_SUPPORT,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_C_SUPPORT_AT_LEAST_5.jpg
strongest_D_LONGEST_SUPPORT,TERGS_1BB7B9183580C17A201F,D_LONGEST_SUPPORT,PRE_REFERENCE_MECHANICAL,5,490;491;492;493;494,PERSISTENT_RELATIONAL_EVIDENCE,CREDIBLE_PERSISTENT_REVERSE_ORDER,PRESENT_BUT_DOES_NOT_REVERSE_PERSISTENT_ORDER,YES_RELATIONALLY_INCOMPATIBLE_ACROSS_PERSISTENT_SUPPORT,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_D_LONGEST_SUPPORT.jpg
five_track_A_SUPPORT_1,TERGS_406E06BEE8B19831E091,A_SUPPORT_1,PRE_REFERENCE_MECHANICAL,1,492,LOCAL_RELATIONAL_EVIDENCE,GEOMETRICALLY_CREDIBLE_BUT_TEMPORALLY_LOCAL,MATERIAL_FOR_EVIDENCE_EXTENT_INTERPRETATION,LOCALLY_INCOMPATIBLE_NOT_EQUAL_TO_PERSISTENT_PROOF,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_A_SUPPORT_1.jpg
five_track_B_SUPPORT_2,TERGS_406E06BEE8B19831E091,B_SUPPORT_2,PRE_REFERENCE_MECHANICAL,2,493;494,LOCAL_RELATIONAL_EVIDENCE,GEOMETRICALLY_CREDIBLE_BUT_TEMPORALLY_LOCAL,MATERIAL_FOR_EVIDENCE_EXTENT_INTERPRETATION,LOCALLY_INCOMPATIBLE_NOT_EQUAL_TO_PERSISTENT_PROOF,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_B_SUPPORT_2.jpg
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,C_SUPPORT_AT_LEAST_5,PRE_REFERENCE_MECHANICAL,8,487;488;489;490;491;492;493;494,PERSISTENT_RELATIONAL_EVIDENCE,CREDIBLE_PERSISTENT_REVERSE_ORDER,PRESENT_BUT_DOES_NOT_REVERSE_PERSISTENT_ORDER,YES_RELATIONALLY_INCOMPATIBLE_ACROSS_PERSISTENT_SUPPORT,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_C_SUPPORT_AT_LEAST_5.jpg
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,D_LONGEST_SUPPORT,PRE_REFERENCE_MECHANICAL,8,487;488;489;490;491;492;493;494,PERSISTENT_RELATIONAL_EVIDENCE,CREDIBLE_PERSISTENT_REVERSE_ORDER,PRESENT_BUT_DOES_NOT_REVERSE_PERSISTENT_ORDER,YES_RELATIONALLY_INCOMPATIBLE_ACROSS_PERSISTENT_SUPPORT,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_D_LONGEST_SUPPORT.jpg
strongest_E_LIKELY_VS_EXCLUDED_ALTERNATIVE,TERGS_1BB7B9183580C17A201F,E_LIKELY_VS_EXCLUDED_ALTERNATIVE,POST_REFERENCE_DIAGNOSTIC_SELECTION,1,492,LOCAL_RELATIONAL_EVIDENCE,GEOMETRICALLY_CREDIBLE_BUT_TEMPORALLY_LOCAL,MATERIAL_FOR_EVIDENCE_EXTENT_INTERPRETATION,LOCALLY_INCOMPATIBLE_NOT_EQUAL_TO_PERSISTENT_PROOF,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_E_LIKELY_VS_EXCLUDED_ALTERNATIVE.jpg
five_track_E_LIKELY_VS_EXCLUDED_ALTERNATIVE,TERGS_406E06BEE8B19831E091,E_LIKELY_VS_EXCLUDED_ALTERNATIVE,POST_REFERENCE_DIAGNOSTIC_SELECTION,8,487;488;489;490;491;492;493;494,PERSISTENT_RELATIONAL_EVIDENCE,CREDIBLE_PERSISTENT_REVERSE_ORDER,PRESENT_BUT_DOES_NOT_REVERSE_PERSISTENT_ORDER,YES_RELATIONALLY_INCOMPATIBLE_ACROSS_PERSISTENT_SUPPORT,False,CODEX_PERSONALLY_INSPECTED,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_E_LIKELY_VS_EXCLUDED_ALTERNATIVE.jpg
