case_id,scope,visual_observation,computational_state,verdict,issue_classification,evidence_file
BRIDGE_01,F67-F68,"large fan/radial q95 source touches a much smaller local destination response; local contact does not visually justify one global region identity","WEAK_CONTINUATION; bridge split 27/26 frames",VISUALLY_QUESTIONABLE_GLOBAL_BRIDGE,CONFIRMED,"figures/bridge_critical_edges/01_TERGE_12263C621633CF2CF4FC.png"
BRIDGE_02,F101-F102,"branched source response contacts a compact terminal destination lobe; plausible local persistence but not whole-region equivalence","WEAK_CONTINUATION; bridge split 21/26 frames",LOCAL_CORRESPONDENCE_GLOBAL_EQUIVALENCE_UNCERTAIN,CONFIRMED,"figures/bridge_critical_edges/02_TERGE_EFB327781B62D362F555.png"
BRIDGE_03,F90-F91,"elongated responses occupy a similar local band but only a small end is P0-supported","WEAK_CONTINUATION; bridge split 20/27 frames",PLAUSIBLE_LOCAL_CONTINUATION_BUT_BRIDGE_UNCERTAIN,SUSPECTED,"figures/bridge_critical_edges/03_TERGE_47777A06F5C061A7C5E5.png"
BRIDGE_04,F15-F16,"compact source response is absorbed into a much larger branched destination q95 region","WEAK_CONTINUATION; bridge split 11/48 frames",REGION_GROWTH_OR_MERGE_NOT_STABLE_IDENTITY,CONFIRMED,"figures/bridge_critical_edges/04_TERGE_5EBE14913F030C8B5102.png"
BRIDGE_05,F25-F26,"two small nearby regions make only a tip contact after warp","WEAK_CONTINUATION; bridge split 10/15 frames",MARGINAL_CONTACT_VISUALLY_IMPLAUSIBLE_AS_DECISIVE_BRIDGE,CONFIRMED,"figures/bridge_critical_edges/05_TERGE_DA8DFD297C778B401B67.png"
BRIDGE_06_07,F26-F27,"same physical edge appears under two track-conditioned graphs; a compact source touches the terminal lobe of a much larger destination region","WEAK_CONTINUATION; duplicated conditioned edges; each split 8/8 frames",PHYSICAL_EDGE_DUPLICATED_AND_GLOBAL_LINK_UNCERTAIN,CONFIRMED,"figures/bridge_critical_edges/06_TERGE_EB227BE1175097B56CF9.png"
BRIDGE_08_09,F19-F20,"same physical edge appears under two track-conditioned graphs; compact source maps to one end of a long destination region","WEAK_CONTINUATION; duplicated conditioned edges; split 8/25 and 8/28 frames",PHYSICAL_EDGE_DUPLICATED_AND_GLOBAL_LINK_UNCERTAIN,CONFIRMED,"figures/bridge_critical_edges/08_TERGE_44350C24D56CA3C47199.png"
BRIDGE_10,F52-F53,"compact source maps to the foot of a long vertical destination region","WEAK_CONTINUATION; bridge split 8/41 frames",LOCAL_PERSISTENCE_POSSIBLE_WHOLE_REGION_IDENTITY_UNCERTAIN,CONFIRMED,"figures/bridge_critical_edges/10_TERGE_F497E3F7B05444DD3CE7.png"
EXACT_ONE_A,F71-F72,"only a tiny fractional contact is visible; source retention is 0.0023","DEFORMATION_LINK; soft mass exactly 1.0",MARGINAL_CONTACT_NOT_A_PHYSICAL_ONE_PIXEL_FACT,CONFIRMED,"figures/exact_one_soft_overlap_edges/01_TERGE_FE61F77D62EB26CB41AD.png"
EXACT_ONE_B,F72-F73,"a one-pixel-mass source seed touches a large destination region; destination explained fraction is 0.0017","DEFORMATION_LINK; soft mass exactly 1.0",MARGINAL_CONTACT_NOT_GLOBAL_CONTINUITY,CONFIRMED,"figures/exact_one_soft_overlap_edges/03_TERGE_D7D994A0DB490A1CFB5B.png"
FOCUS_COMPLETE,R01ZF F0-F15,"selected response is visibly continuous and moves smoothly from about -30.45 to -16.91 degrees through every intermediate frame","complete 16-frame component",VISUALLY_CONTINUOUS_TEMPORAL_RESPONSE,NON_ISSUE,"figures/r01zf_f0_f15_all_intermediate_competing_components.png"
FOCUS_PARTIAL,R01ZF F0-F4,"partial response near -45 degrees is spatially distinct and visually persistent for five frames; it is not an obvious broken fragment of the selected response","partial five-frame component",REAL_PARTIAL_ALTERNATIVE_NOT_FALSE_ISOLATION_IN_THIS_CASE,NON_ISSUE,"figures/r01zf_f0_f15_all_intermediate_competing_components.png"
FOCUS_GROUNDING,R01ZF F0-F15,"four reference frames lie on the selected continuous response, while intermediate unlabeled frames also look continuous; physical response sharing prevents an identity claim","LIKELY_SUPPORTED_EXPLORATORY",VISUALLY_STRONG_CONTINUITY_BUT_IDENTITY_UNRESOLVED,CONFIRMED,"figures/r01zf_f0_f15_all_intermediate_competing_components.png"
