segment_id,run_id,evidence_family,availability_state,evidence_role,activated_for_relational_exclusion,availability_basis,weighted_score_used,manual_reference_used
TERGS_E766DA8C46F860D1BA2F,R01ZF,RELATIVE_ANGULAR_ORDER,AMBIGUOUS,RELATIONAL_DISCRIMINATIVE,False,0/1 pair profiles have whole-segment definite raw optical order,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,7 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 1/1 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,RELATIVE_ANGULAR_ORDER,UNAVAILABLE,RELATIONAL_DISCRIMINATIVE,False,0/0 pair profiles have whole-segment definite raw optical order,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,1 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,SHARED_RESPONSE_STATE,UNAVAILABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 0/0 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_78A1EE0BE1319B401D51,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,RELATIVE_ANGULAR_ORDER,AMBIGUOUS,RELATIONAL_DISCRIMINATIVE,False,0/1 pair profiles have whole-segment definite raw optical order,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,2 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,SHARED_RESPONSE_STATE,OBSERVABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 1/1 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_8BEED5994DAAC1AE86CF,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,RELATIVE_ANGULAR_ORDER,UNAVAILABLE,RELATIONAL_DISCRIMINATIVE,False,0/0 pair profiles have whole-segment definite raw optical order,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,LIFECYCLE_PERSISTENCE,OBSERVABLE,STRUCTURING,False,1 complete-lifecycle-possible frozen families; already used in TERG-v1 construction,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,SHARED_RESPONSE_STATE,UNAVAILABLE,DESCRIPTIVE,False,shared SAR physical-region support occurs in 0/0 relation profiles; no PERSON-state equivalence asserted,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,TOPOLOGY_HYPOTHESIS_SET,PARTIALLY_OBSERVABLE,DESCRIPTIVE,False,split/merge/deformation remains a compatible SAR response-state hypothesis set,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,BOUNDARY_CENSORING,OBSERVABLE,DESCRIPTIVE,False,censoring disables morphology authority and preserves boundary-conditioned hypotheses,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,RESPONSE_COMPONENT_SET,OBSERVABLE,STRUCTURING,False,upper families may contain multiple lower-core components and multiple physical regions,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,EXACT_CROSS_MODAL_TIMING,UNAVAILABLE,DESCRIPTIVE,False,all frozen timing-authority rows prohibit exact cross-modal order,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,RELATIVE_RANGE_LIKE_ORDER,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,optical has no range authority and no reliable cross-modal range-order observable is frozen,False,False
TERGS_253C26F1BF4B2985C601,R01ZF,UNARY_FAMILY_DISCRIMINATION,UNAVAILABLE,UNARY_DISCRIMINATIVE,False,TERG-R0 deletes 0 individual families without an anchor,False,False
