asset_name,asset_type,status,path,source,coordinate_frame,resolution,runtime_available,verified,semantics,dependency,usable_for_person_range,reason
person_camera_intrinsics_K,camera_intrinsic,MISSING,,broad current-source audit,PERSON optical camera,required at 3840x2160 or with a verified transform,NO,YES_AUDIT,No numeric K with PERSON acquisition provenance was located.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,Strong intrinsic hits after exclusions: 0; none is a PERSON-scene K.
person_camera_distortion,camera_distortion,MISSING,,broad current-source audit,PERSON optical camera,3840x2160,NO,YES_AUDIT,No distortion model or coefficients tied to the PERSON camera were located.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,Undistortion state cannot be established.
raw_optical_video_resolution,image_resolution,FOUND_AND_VERIFIED,C:\research_raw\optical_sar_data\20260721data\SAR+光学视频\R01ZF_C.MP4;C:\research_raw\optical_sar_data\20260721data\SAR+光学视频\R02ZF_C.MP4;C:\research_raw\optical_sar_data\20260721data\SAR+光学视频\R03ZF_C.MP4,OpenCV MP4 headers,raw optical pixel frame,3840x2160 for R01ZF/R02ZF/R03ZF,YES,YES,Native decoded optical frame geometry.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,YES_PARTIAL,Width/height and FPS were read directly from all six current raw videos.
stored_optical_frame_resolution,image_resolution,FOUND_AND_VERIFIED,D:\profile\research\workspace\output\person_optical_guided_sar_annotation_full_20260823\optical_person_frame_hypotheses.parquet,raw JPEG headers and optical hypothesis table,stored optical pixel frame,3840x2160,YES,YES,PERSON bboxes are expressed in stored native-resolution JPEG coordinates.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,YES_PARTIAL,Sample headers and all bbox bounds are compatible with 3840x2160.
raw_to_stored_optical_coordinate_chain,image_coordinate_chain,FOUND_AND_VERIFIED,D:\profile\research\workspace\tasks\pseudocolor_labelstudio_prep_20260722\export_paired_frames.py,current frame export code,raw optical pixels -> stored JPEG pixels,3840x2160 -> 3840x2160,YES,YES,"VideoCapture decode followed by direct cv2.imwrite; no resize, crop, or letterbox occurs in export_video.",SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,YES,"The K transform would be identity for pixel scaling/cropping, but K itself is missing."
person_camera_height,mounting_geometry,MISSING,,broad current-source audit,local ground to camera optical center,metric,NO,YES_AUDIT,No measured camera optical-center height with PERSON acquisition provenance.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,Required for a ground-plane ray intersection unless another metric depth interface is recovered.
person_camera_pitch_roll,mounting_geometry,MISSING,,broad current-source audit,camera relative to local ground/radar,angular,NO,YES_AUDIT,No measured pitch/roll or verified gravity alignment for the PERSON camera.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,Ray direction relative to the ground plane is unresolved.
person_camera_radar_R_t,rigid_extrinsic,MISSING,,broad current-source audit,camera <-> radar,SE(3),NO,YES_AUDIT,No rigid transform tied to the R01ZF/R02ZF/R03ZF acquisition system.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,Textual camera/radar extrinsic hits: 7; none provides a verified PERSON transform.
local_ground_plane,ground_geometry,MISSING,,broad current-source audit,radar or camera local frame,plane normal and offset/envelope,NO,YES_AUDIT,No local plane normal/offset or bounded slope record for these runs.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,A visual assumption that the floor is flat is not a calibrated plane.
runtime_footpoint_interval,observation_interface,MISSING,,PERSON optical hypothesis artifacts,stored optical pixel frame,u/v interval,NO,YES,Existing detector bbox bottoms are candidates only; no runtime footpoint interval or observability label is materialized.,SINGLE_FRAME_RELATIVE_RANGE_REQUIREMENT,NO,bbox bottom is explicitly not accepted as an exact footpoint.
global_platform_pose,platform_state,MISSING,,broad current-source audit,world frame,pose/trajectory,NO,YES_AUDIT,No synchronized platform world pose was found.,TEMPORAL_WORLD_REGISTRATION_REQUIREMENT,NOT_REQUIRED_FOR_SINGLE_FRAME,Global pose is not required for current-frame relative ray/ground range if local camera-ground-radar geometry is known.
imu_odometry_slam_for_person_rig,platform_state,MISSING,,broad current-source audit,platform/world,time series,NO,YES_AUDIT,"Unrelated robot SLAM/IMU code exists, but no R01ZF/R02ZF/R03ZF sensor log or frame binding exists.",TEMPORAL_WORLD_REGISTRATION_REQUIREMENT,NOT_REQUIRED_FOR_SINGLE_FRAME,Related-project assets are hardware-incompatible and have no PERSON run provenance.
