source_level,source_path,source_type,reason_read,data_level_relevance,date_read
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/00_RESEARCH_BRIEF.md,research_brief,defines L0-L4 hierarchy and core physical framing,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/01_DATA_HIERARCHY_AND_CONTEXT.md,control_file,defines level separation and reporting rules,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/02_AVAILABLE_DATA_AND_ASSUMPTIONS.md,control_file,lists available data and optical/SAR transfer constraints,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/03_PRIOR_WORK_AS_EVIDENCE.md,control_file,classifies prior evidence and forbidden runtime signals,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/04_RESEARCH_DIRECTIONS_AND_DESIGN_SPACE.md,control_file,defines eight design spaces including full-stream inventory,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/05_CURRENT_STATE_AND_OPEN_QUESTIONS.md,control_file,documents Stage 1 repaired rerun outcomes and current blocker,L3;ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/06_AGENT_RULES_AND_STAGE_GATES.md,control_file,defines forbidden actions and stage gates,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/07_NEXT_RESEARCH_TASK.md,control_file,defines current task goals and required outputs,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/08_RAG_SOURCE_INDEX.md,control_file,prioritizes source hierarchy for evidence,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/09_REDESIGN_REVIEW_MEMO.md,control_file,explains why redesign exists and warns against regression,ALL,2026-04-30
L_PROJECT_CONTROL,/mnt/d/profile/research/workspace/00_project_control/10_CURRENT_VERIFICATION_CHECKLIST.md,control_file,pre-task verification checklist,ALL,2026-04-30
L3_STAGE1_OUTPUT,/mnt/d/profile/research/workspace/output/runtime_v2_stage1_repaired_policy_rerun_2026-04-27/02_notes/runtime_v2_stage1_repaired_policy_rerun_2026-04-27_stage1_repaired_policy_rerun_report.md,recent_report,documents Stage 1 repaired rerun outcomes: 0 accepted 37 rejected,L3,2026-04-30
L3_STAGE1_OUTPUT,/mnt/d/profile/research/workspace/logs/runtime_v2_stage1_repaired_policy_rerun_2026-04-27_post.md,recent_post_log,Stage 1 rerun post log with summary and promotion decision,L3,2026-04-30
L3_STAGE1_OUTPUT,/mnt/d/profile/research/workspace/output/runtime_v2_stage1_blocked_candidate_audit_2026-04-27/02_notes/runtime_v2_stage1_blocked_candidate_audit_2026-04-27_recommendation.md,recent_report,blocked-candidate audit: over-blocking rows need positive evidence not threshold relaxation,L3,2026-04-30
L3_STAGE1_OUTPUT,/mnt/d/profile/research/workspace/output/runtime_v2_stage1_positive_vehicle_shape_evidence_audit_2026-04-27/02_notes/runtime_v2_stage1_positive_vehicle_shape_evidence_audit_2026-04-27_positive_vehicle_shape_evidence_audit_note.md,recent_report,positive SAR vehicle-shape evidence audit: dominant gap is missing localized body support,L3,2026-04-30
L0_SCENE_DATA,/mnt/d/profile/research/workspace/output/runtime_v2_full_scene_optical_state_audit_2026-04-25/00_tables/runtime_v2_full_scene_optical_state_audit_2026-04-25_scene_frame_inventory.csv,data_table,scene frame counts and file paths for all three scenes,L0,2026-04-30
L0_SCENE_DATA,/mnt/d/profile/research/workspace/output/runtime_v2_full_scene_optical_state_audit_2026-04-25/00_tables/runtime_v2_full_scene_optical_state_audit_2026-04-25_scene_correspondence_audit.csv,data_table,optical-to-SAR offset distribution and frame mapping audit,L0;L2,2026-04-30
L0_SCENE_DATA,/mnt/d/profile/research/workspace/output/runtime_v2_optical_state_conditioned_roi_sar_expectation_2026-04-26/00_tables/runtime_v2_optical_state_conditioned_roi_sar_expectation_2026-04-26_per_scene_frame_inventory.csv,data_table,per-scene frame inventory with depth frame counts,L0,2026-04-30
