case_id,figure_path,common_sar_support_frame_count,computed_geometric_verdict,independent_visual_review_verdict,independent_visual_support_extent,independent_visual_confidence,q95_fragmentation_or_deformation_concern,review_note,review_source,relative_order_primitive_freeze_supported
strongest_A_SUPPORT_1,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_A_SUPPORT_1.jpg,1,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_OPPOSITE_ANGULAR_ORDER_SINGLE_FRAME,LOCAL_ONLY,LOW,MATERIAL,"The two rendered SAR contours are angularly reversed relative to the optical pair, but one frame cannot establish persistence.",DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,False
strongest_B_SUPPORT_2,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_B_SUPPORT_2.jpg,2,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_OPPOSITE_ANGULAR_ORDER_BOTH_FRAMES,LOCAL_TWO_FRAME,LOW_TO_MODERATE,PRESENT_BUT_ORDER_SURVIVES,Both frames show the same reversed angular order; the cyan region changes shape and the support remains short.,DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,False
strongest_C_SUPPORT_AT_LEAST_5,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_C_SUPPORT_AT_LEAST_5.jpg,5,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_PERSISTENT_OPPOSITE_ANGULAR_ORDER,PERSISTENT_FIVE_FRAME,MODERATE,PRESENT_BUT_ORDER_SURVIVES,Across F490-F494 the separated cyan/orange contours preserve the reverse angular order despite q95 morphology changes.,DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,True
strongest_D_LONGEST_SUPPORT,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_D_LONGEST_SUPPORT.jpg,5,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_PERSISTENT_OPPOSITE_ANGULAR_ORDER,PERSISTENT_FIVE_FRAME,MODERATE_TO_HIGH,PRESENT_BUT_ORDER_SURVIVES,Across F490-F494 both contours remain visibly separated with stable reverse angular order.,DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,True
five_track_A_SUPPORT_1,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_A_SUPPORT_1.jpg,1,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_OPPOSITE_ANGULAR_ORDER_SINGLE_FRAME,LOCAL_ONLY,LOW,MATERIAL,The two small contours are visibly reversed in one frame only.,DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,False
five_track_B_SUPPORT_2,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_B_SUPPORT_2.jpg,2,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_OPPOSITE_ANGULAR_ORDER_BOTH_FRAMES,LOCAL_TWO_FRAME,LOW_TO_MODERATE,PRESENT_BUT_ORDER_SURVIVES,"Both frames preserve reverse order, but the tiny q95 regions make physical interpretation fragile.",DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,False
five_track_C_SUPPORT_AT_LEAST_5,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_C_SUPPORT_AT_LEAST_5.jpg,8,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_PERSISTENT_OPPOSITE_ANGULAR_ORDER,PERSISTENT_EIGHT_FRAME,MODERATE_TO_HIGH,PRESENT_BUT_ORDER_SURVIVES,F487-F494 consistently show the cyan contour angularly to the right of the orange contour.,DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,True
five_track_D_LONGEST_SUPPORT,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_D_LONGEST_SUPPORT.jpg,8,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_PERSISTENT_OPPOSITE_ANGULAR_ORDER,PERSISTENT_EIGHT_FRAME,MODERATE,PRESENT_BUT_ORDER_SURVIVES,F487-F494 preserve reverse order; contour size changes do not reverse the ordering.,DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,True
strongest_E_LIKELY_VS_EXCLUDED_ALTERNATIVE,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/strongest_E_LIKELY_VS_EXCLUDED_ALTERNATIVE.jpg,1,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_OPPOSITE_ANGULAR_ORDER_SINGLE_FRAME,LOCAL_ONLY,LOW,MATERIAL,"The displayed frame shows the computed reverse order, but this post-reference selected case is one-frame and not persistent evidence.",DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,False
five_track_E_LIKELY_VS_EXCLUDED_ALTERNATIVE,output/person_terg_r1_adaptive_evidence_activation_and_relational_composition_20260829/figures/excluded_pair_direct_verification/five_track_E_LIKELY_VS_EXCLUDED_ALTERNATIVE.jpg,8,RELATIVE_ANGULAR_ORDER_CONTRADICTION,VISIBLE_PERSISTENT_ORDER_WITH_MAJOR_MORPHOLOGY_DEFORMATION,PERSISTENT_EIGHT_FRAME_QUALIFIED,LOW_TO_MODERATE,MATERIAL,"The angular interval order persists, but the cyan q95 contour expands and deforms strongly; this is not stable physical-object identity evidence.",DIRECT_IMAGE_INSPECTION_2026_08_30_NOT_DERIVED_FROM_SUPPORT_COUNT,True
